px_R,px_L,x_R,x_L
2.9298e-24,-3.1152e-24,3.9556e+05,29728
-3.1891e-24,-2.0087e-24,2.8352e+05,48549
3.1147e-24,-3.4957e-24,3.9853e+05,21432
-3.2774e-24,-1.8509e-24,2.8908e+05,50836
4.458e-25,-2.633e-24,3.671e+05,38327
1.3855e-24,-7.6422e-25,3.7671e+05,65250
-2.3553e-24,-6.6306e-25,2.5441e+05,66577
-2.7769e-24,-8.2317e-25,2.6056e+05,63438
-2.697e-24,-4.28e-25,2.5968e+05,77923
-3.1917e-24,-8.0301e-25,2.9477e+05,64777
-2.5058e-24,2.7529e-24,2.5675e+05,2.9824e+05
-2.0337e-25,-2.1066e-24,3.3679e+05,46821
-3.1103e-24,-8.1739e-25,2.9808e+05,64442
4.2729e-25,-2.6633e-24,3.6679e+05,37701
-2.7238e-24,-1.4249e-24,3.0525e+05,56049
-2.3647e-24,-2.9977e-24,2.5393e+05,31744
-2.5012e-24,-1.0339e-24,2.5757e+05,60484
-3.2033e-24,-4.4668e-25,2.8091e+05,71650
-2.7718e-24,-2.9326e-24,2.6014e+05,32957
-2.5901e-24,-2.297e-24,2.5906e+05,43773
-2.4998e-24,-1.0514e-24,2.5746e+05,60197
-2.6406e-24,-1.0313e-24,2.5883e+05,60509
-2.4814e-24,-9.883e-25,2.5708e+05,61169
-1.5718e-25,-8.8872e-25,3.373e+05,62414
2.466e-25,-1.7973e-24,3.4885e+05,51758
-2.5862e-24,-3.6641e-24,2.5858e+05,12428
-3.1985e-24,-3.6585e-24,2.7243e+05,7934.6
-1.5259e-24,-9.4188e-25,3.2121e+05,61884
1.8144e-25,-7.9727e-25,3.5923e+05,64897
-2.9006e-24,-1.8495e-24,2.6103e+05,51023
-2.3937e-24,-2.4793e-24,2.5639e+05,41153
-2.9496e-24,-2.3719e-24,2.6131e+05,42725
-2.2631e-24,1.2187e-24,2.5049e+05,1.3329e+05
-2.4241e-24,-1.2633e-24,2.5673e+05,57812
-2.3533e-24,-4.4631e-25,2.5642e+05,71659
-3.1907e-24,-3.6732e-24,2.949e+05,8928.7
-2.683e-24,-1.4013e-24,2.5905e+05,56352
-2.3205e-24,2.0022e-24,2.5611e+05,2.6041e+05
-2.6887e-24,-2.5562e-24,2.5965e+05,39882
-1.6801e-26,-2.4018e-24,3.3931e+05,42307
2.9254e-26,-1.9128e-24,3.4266e+05,50048
1.7825e-25,-1.8531e-24,3.5067e+05,51090
-2.5537e-24,-2.1033e-24,2.5831e+05,46980
-3.0167e-24,-3.7318e-25,2.6306e+05,73293
-2.3875e-24,1.6765e-24,2.5674e+05,2.5472e+05
-2.3355e-24,-1.484e-24,2.5622e+05,55446
-2.309e-24,1.469e-24,2.5451e+05,2.4934e+05
-2.3132e-24,-1.6465e-24,2.547e+05,53782
-2.2856e-24,-1.5951e-24,2.5595e+05,54336
-2.514e-24,-2.0654e-24,2.578e+05,47768
1.4242e-25,-2.2645e-24,3.5472e+05,44280
-3.1828e-24,-3.6816e-24,2.6899e+05,9779.5
-2.3301e-24,-1.0456e-24,2.519e+05,60461
-2.4863e-24,-1.9409e-24,2.5692e+05,49871
-2.8293e-24,-1.02e-24,3.0418e+05,60868
-2.407e-24,-1.9942e-24,2.4998e+05,48955
-2.4493e-24,-2.4344e-24,2.5672e+05,41844
-2.4207e-24,1.3041e-24,2.5039e+05,2.4514e+05
-3.2124e-24,-6.975e-25,2.7148e+05,66697
-2.7411e-24,-2.1602e-24,2.5947e+05,45895
1.169e-26,-1.9931e-24,3.4054e+05,49093
1.4273e-25,-3.3828e-24,3.5301e+05,24057
-2.2849e-24,-2.7776e-24,2.5567e+05,35673
-2.5239e-24,-1.2118e-24,2.5825e+05,58417
-3.0379e-24,-1.6672e-24,2.6383e+05,2.1299e+05
-2.3339e-24,-1.7527e-24,2.5292e+05,52513
-2.3563e-24,-7.0847e-25,2.4905e+05,2.2271e+05
-2.3517e-24,-2.1831e-24,2.5284e+05,45470
-2.5136e-24,-1.2531e-24,2.5773e+05,57954
-2.362e-24,-8.3994e-25,2.4777e+05,63546
-2.3798e-24,-2.0775e-24,2.5302e+05,47812
-2.3953e-24,-2.3889e-25,2.4741e+05,88047
1.2094e-26,-2.8607e-24,3.4045e+05,34266
-2.2936e-24,1.0378e-24,2.5287e+05,1.5046e+05
-2.2962e-24,-3.4044e-24,2.4932e+05,23585
-2.3831e-24,-2.9245e-24,2.5152e+05,33144
-2.3413e-24,-2.1959e-24,2.528e+05,45343
-2.3554e-24,6.8815e-25,2.5628e+05,1.1578e+05
-2.9054e-24,1.2165e-24,2.6104e+05,1.332e+05
-2.4505e-24,5.2869e-25,2.5774e+05,2.2996e+05
-2.5951e-24,-1.5235e-24,2.4339e+05,55080
-2.8035e-24,-2.1251e-24,2.597e+05,46906
-2.555e-24,-3.6461e-24,2.5807e+05,16900
-2.5057e-24,-1.358e-24,3.0869e+05,2.1665e+05
-3.2128e-24,-3.3784e-24,2.7723e+05,163.26
-2.4006e-24,2.271e-24,2.526e+05,2.4271e+05
-2.328e-24,-3.5392e-25,2.5401e+05,83691
-2.3512e-24,2.6325e-25,2.543e+05,2.2854e+05
-2.3505e-24,-2.7372e-24,2.5406e+05,36414
-2.2928e-24,-1.9754e-26,2.5594e+05,99195
-2.2925e-24,-5.3638e-25,2.501e+05,70344
-2.4074e-24,-2.2311e-24,2.5233e+05,44830
-2.8275e-24,-4.4334e-25,2.5997e+05,80337
-2.7775e-24,-2.0428e-24,2.3805e+05,48389
-2.3113e-24,-3.6817e-24,2.5176e+05,11037
-2.419e-24,1.0694e-24,2.5183e+05,1.4832e+05
-2.7916e-24,-3.6899e-25,2.5989e+05,74723
-2.6802e-24,-6.6566e-25,2.5916e+05,67576
-2.4061e-24,-6.6895e-25,2.4703e+05,67613
-2.4004e-24,-9.4486e-25,2.5248e+05,62016
-2.8253e-24,-4.1609e-25,2.5993e+05,72279
-2.4729e-24,-1.1474e-24,2.4608e+05,59148
-2.6761e-24,2.0163e-24,2.4062e+05,2.4093e+05
-2.8479e-24,-3.49e-24,2.6031e+05,2597.8
-2.4902e-24,-8.4555e-26,2.5833e+05,97938
-2.4263e-24,-7.0113e-25,2.579e+05,66877
-2.3503e-24,-2.4424e-24,2.5321e+05,41808
-2.3792e-24,-4.0228e-25,2.5146e+05,76229
-2.272e-24,-2.4979e-24,2.5038e+05,40960
-2.3539e-24,2.4021e-24,2.5114e+05,3.1132e+05
-2.3965e-24,5.2795e-24,2.576e+05,2.6028e+05
-2.3977e-24,-7.2857e-25,2.5256e+05,66273
-2.6963e-24,-6.3341e-25,2.4013e+05,68750
-2.488e-24,-7.6812e-25,2.5793e+05,65336
-2.3679e-24,-4.1005e-25,2.5632e+05,76616
-2.4247e-24,-3.1037e-24,2.5208e+05,29976
-2.3671e-24,2.4808e-24,2.5665e+05,3.1505e+05
-2.2818e-24,-2.9824e-25,2.5538e+05,85067
-2.5604e-24,-8.4948e-25,2.4402e+05,63302
-2.315e-24,2.782e-24,2.4885e+05,2.8781e+05
-2.4336e-24,-9.2012e-25,2.5175e+05,62304
-2.347e-24,-7.7751e-25,2.5124e+05,65187
-2.6335e-24,-2.8682e-24,2.4169e+05,34167
-2.5172e-24,-3.6848e-25,2.4548e+05,73624
-2.3539e-24,-2.9269e-25,2.506e+05,85145
-2.6349e-24,-1.0496e-24,2.4209e+05,60512
-2.3062e-24,-3.23e-24,2.5517e+05,27576
-2.3013e-24,-7.3269e-25,2.5127e+05,65762
-2.2535e-24,-5.6188e-25,2.5108e+05,70009
-2.5497e-24,-2.3325e-24,2.451e+05,43393
-2.4145e-24,-9.43e-25,2.5183e+05,62056
-2.39e-24,-4.2589e-25,2.5306e+05,77700
-2.6059e-24,2.0119e-24,2.4454e+05,2.6024e+05
-2.408e-24,-1.6882e-24,2.517e+05,53346
-2.2869e-24,-2.0338e-24,2.5029e+05,48559
-2.3476e-24,-1.1254e-24,2.48e+05,59513
