0.01	0.002        
0.02	0.0017 
0.03	0.0010 
0.04	0.0004 
0.05	0.00034 
0.06	0.00054 
0.07	0.00027
0.08	0.00027
0.09	0.00027
0.1	0.00029
0.2	0.0013
0.3	0.0006
0.4	0.00032
0.5	0.00057
0.6	0.00086
0.7	0.00062
0.8	0.0008
0.9	0.00091
1	0.00071
2	0.0095
3	0.0096
4	0.0085
5	0.0098
6	0.011
7	0.012
8	0.016
9	0.02
10	0.0213
11	0.0214
12	0.023
13	0.024
14	0.026
15	0.032
16	0.040
17	0.044
18	0.048
19	0.047
20	0.067
21	0.10
22	0.16
23	0.14
24	0.061
25	0.0092
26	0.0005
