px_R,px_L,x_R,x_L
2.5745e-24,-2.5359e-24,1.5923e+05,3680.5
2.4982e-24,-2.5294e-24,1.4909e+05,6470.5
2.558e-24,-2.5522e-24,1.5646e+05,2405.3
2.5151e-24,-2.5215e-24,1.4807e+05,6827.4
2.5712e-24,-2.5697e-24,1.561e+05,428.76
2.5199e-24,-2.5477e-24,1.4741e+05,3227.6
2.5764e-24,-2.518e-24,1.5554e+05,7325.3
2.5453e-24,-2.5102e-24,1.5648e+05,7704.6
2.5751e-24,-2.5376e-24,1.618e+05,7579.5
2.4897e-24,-2.5484e-24,1.508e+05,7668
2.5081e-24,-2.544e-24,1.5177e+05,4827.2
2.5506e-24,-2.5564e-24,1.5325e+05,5214.8
2.5594e-24,-2.5502e-24,1.5893e+05,3743.2
2.5897e-24,-2.5643e-24,1.547e+05,9989.7
2.5898e-24,-2.5344e-24,1.5433e+05,7916
2.5501e-24,-2.5461e-24,1.5624e+05,8333.9
2.5029e-24,-2.5493e-24,1.4752e+05,4263.7
2.5512e-24,-2.5549e-24,1.6112e+05,3357.6
2.5439e-24,-2.5552e-24,1.555e+05,9376.4
2.4551e-24,-2.5277e-24,1.4969e+05,7112.6
2.4957e-24,-2.5232e-24,1.5172e+05,12678
2.5191e-24,-2.5565e-24,1.5269e+05,2892.9
2.5335e-24,-2.5442e-24,1.5584e+05,10302
2.522e-24,-2.5511e-24,1.563e+05,9088.7
2.5671e-24,-2.5918e-24,1.543e+05,1538.3
2.5467e-24,-2.5455e-24,1.5382e+05,4406.3
2.5664e-24,-2.5495e-24,1.6006e+05,11251
2.5485e-24,-2.552e-24,1.5548e+05,5674.8
2.5407e-24,-2.578e-24,1.5376e+05,2288.6
2.5572e-24,-2.5525e-24,1.6014e+05,9175.6
2.514e-24,-2.5507e-24,1.5759e+05,4367
2.5065e-24,-2.5857e-24,1.5216e+05,3917.8
2.5544e-24,-2.5813e-24,1.5974e+05,7618.9
2.5183e-24,-2.5783e-24,1.5653e+05,9144.2
2.5522e-24,-2.5554e-24,1.6164e+05,7646
2.5188e-24,-2.5671e-24,1.5615e+05,5051
2.545e-24,-2.6022e-24,1.5885e+05,910.45
2.5401e-24,-2.5973e-24,1.5388e+05,2048.6
2.5457e-24,-2.5668e-24,1.5563e+05,5869.9
2.5382e-24,-2.5859e-24,1.5903e+05,8068.8
2.505e-24,-2.5684e-24,1.5182e+05,5422.6
2.5456e-24,-2.5519e-24,1.5396e+05,12268
2.499e-24,-2.5595e-24,1.5827e+05,6058.5
2.5043e-24,-2.5056e-24,1.5808e+05,13840
2.4918e-24,-2.5769e-24,1.5772e+05,9774.7
2.5014e-24,-2.5714e-24,1.5268e+05,10457
2.5057e-24,-2.5601e-24,1.5652e+05,6471.2
2.5429e-24,-2.5682e-24,1.5945e+05,4678
2.5139e-24,-2.563e-24,1.5566e+05,7470.7
2.4756e-24,-2.5612e-24,1.5725e+05,10536
2.5094e-24,-2.5705e-24,1.5608e+05,7231.2
2.492e-24,-2.5588e-24,1.5743e+05,10793
2.504e-24,-2.5685e-24,1.5838e+05,7081
2.5206e-24,-2.5886e-24,1.5439e+05,9892.5
2.5278e-24,-2.563e-24,1.5893e+05,6551.9
2.4925e-24,-2.5623e-24,1.5716e+05,11839
2.5141e-24,-2.5955e-24,1.5851e+05,3261.3
2.5447e-24,-2.6054e-24,1.6225e+05,9652
2.503e-24,-2.5788e-24,1.5668e+05,6145.5
2.5568e-24,-2.5674e-24,1.6325e+05,12566
2.5066e-24,-2.5714e-24,1.5514e+05,16033
2.509e-24,-2.5895e-24,1.5519e+05,10969
2.5022e-24,-2.6117e-24,1.5802e+05,2369.9
2.5094e-24,-2.5834e-24,1.5837e+05,5331.2
2.5269e-24,-2.5953e-24,1.554e+05,9868.6
2.5277e-24,-2.5842e-24,1.5482e+05,11558
2.527e-24,-2.6049e-24,1.5405e+05,5792.3
2.4759e-24,-2.5839e-24,1.565e+05,10332
2.5825e-24,-2.615e-24,1.6905e+05,2093.2
2.4599e-24,-2.5771e-24,1.5744e+05,10947
2.4859e-24,-2.6049e-24,1.5812e+05,7536.3
2.5228e-24,-2.5972e-24,1.6232e+05,6828
2.5182e-24,-2.601e-24,1.5933e+05,9444.9
2.55e-24,-2.6264e-24,1.6481e+05,2271.1
2.5018e-24,-2.5874e-24,1.5866e+05,11203
2.4532e-24,-2.5777e-24,1.5711e+05,7017.2
2.5337e-24,-2.6112e-24,1.6212e+05,9079.2
2.5232e-24,-2.6027e-24,1.6035e+05,5210.7
2.4698e-24,-2.5951e-24,1.5686e+05,6189.3
2.5254e-24,-2.6085e-24,1.6081e+05,3358.9
2.4909e-24,-2.5986e-24,1.5309e+05,8648.7
2.5039e-24,-2.5781e-24,1.539e+05,12890
2.5566e-24,-2.6171e-24,1.6434e+05,9284
2.5202e-24,-2.6062e-24,1.613e+05,10313
2.5236e-24,-2.6326e-24,1.6102e+05,8261.3
2.5127e-24,-2.6175e-24,1.5408e+05,3528.4
2.4923e-24,-2.6189e-24,1.554e+05,7238.7
